,GEOID,Median Income
819,15000US060014415223,90057.0
820,15000US060014415231,110469.0
821,15000US060014415232,127016.0
822,15000US060014415233,166250.0
823,15000US060014415241,166250.0
824,15000US060014415242,150972.0
825,15000US060014416011,129286.0
826,15000US060014416012,106875.0
827,15000US060014416013,113295.0
828,15000US060014416021,100755.0
829,15000US060014416022,125905.0
830,15000US060014416023,75852.0
831,15000US060014416024,
832,15000US060014417001,76625.0
833,15000US060014417002,126000.0
834,15000US060014417003,95618.0
835,15000US060014417004,79545.0
836,15000US060014418001,91250.0
837,15000US060014418002,98750.0
838,15000US060014418003,120714.0
839,15000US060014418004,171833.0
840,15000US060014419211,156100.0
841,15000US060014419212,109566.0
842,15000US060014419231,49737.0
843,15000US060014419232,90385.0
844,15000US060014419233,89435.0
845,15000US060014419241,128621.0
846,15000US060014419242,111438.0
847,15000US060014419243,109625.0
848,15000US060014419244,105665.0
849,15000US060014419251,122318.0
850,15000US060014419252,92614.0
851,15000US060014419261,73125.0
852,15000US060014419262,84269.0
853,15000US060014419271,87418.0
854,15000US060014419272,110662.0
855,15000US060014420001,152371.0
856,15000US060014420002,196964.0
857,15000US060014421001,156429.0
858,15000US060014421002,175294.0
859,15000US060014422001,157703.0
860,15000US060014422002,175109.0
861,15000US060014422003,141827.0
862,15000US060014422004,175735.0
863,15000US060014423011,100398.0
864,15000US060014423012,68036.0
865,15000US060014423013,84440.0
866,15000US060014423021,91154.0
867,15000US060014423022,53036.0
868,15000US060014423023,82974.0
869,15000US060014424001,86607.0
870,15000US060014424002,112905.0
871,15000US060014424003,93750.0
872,15000US060014424004,102173.0
873,15000US060014425001,91771.0
874,15000US060014425002,60948.0
875,15000US060014425003,73242.0
876,15000US060014425004,69643.0
877,15000US060014426011,129421.0
878,15000US060014426012,122167.0
879,15000US060014426021,63750.0
880,15000US060014426022,140366.0
881,15000US060014427001,138214.0
882,15000US060014427002,102500.0
883,15000US060014427003,82361.0
884,15000US060014428001,97336.0
885,15000US060014429001,101603.0
886,15000US060014429002,89665.0
