,Median Income
1623,139653.0
1624,73514.0
1625,84390.0
1626,92639.0
1627,97353.0
1628,158293.0
1629,103924.0
1630,98958.0
1631,142008.0
1632,163438.0
1633,97563.0
1634,131058.0
1635,129643.0
1636,119408.0
1637,70588.0
1638,161875.0
1639,140833.0
1640,128214.0
1641,147539.0
1642,110938.0
1643,103008.0
1644,140185.0
1645,142685.0
1646,102663.0
1647,121576.0
1648,131397.0
1649,99276.0
1650,179180.0
1651,130982.0
1652,92514.0
1653,157969.0
1654,158000.0
1655,173958.0
1656,107750.0
1657,185583.0
1658,157250.0
1659,181705.0
1660,156597.0
1661,136250.0
1662,157708.0
1663,155551.0
1664,96750.0
1665,110028.0
1666,178523.0
1667,74911.0
1668,91442.0
1669,142813.0
1670,184861.0
1671,182760.0
1672,146250.0
1673,149712.0
1674,165662.0
1675,212019.0
1676,168750.0
1677,165486.0
1678,224375.0
1679,124865.0
1680,170119.0
1681,126914.0
1682,129583.0
1683,182391.0
1684,152371.0
1685,250001.0
1686,179797.0
1687,190179.0
1688,75189.0
1689,109375.0
1690,205670.0
1691,181389.0
1692,113500.0
1693,160682.0
1694,70078.0
1695,76518.0
1696,161761.0
1697,170714.0
1698,77000.0
1699,63594.0
1700,64706.0
1701,39050.0
1702,40223.0
1703,38500.0
1704,50000.0
1705,62917.0
1706,79107.0
1707,250001.0
1708,210074.0
1709,145083.0
1710,157639.0
1711,216000.0
1712,175375.0
1713,193750.0
1714,156726.0
1715,188500.0
1716,101279.0
1717,133214.0
1718,122292.0
1719,113611.0
1720,168750.0
1721,181125.0
1722,227344.0
1723,142955.0
1724,152328.0
1725,163333.0
1726,173021.0
1727,250001.0
1728,203542.0
1729,227279.0
1730,
1731,80785.0
1732,99323.0
1733,83393.0
1734,93697.0
1735,108594.0
1736,89583.0
1737,90667.0
1738,102054.0
1739,90966.0
1740,72344.0
1741,97774.0
1742,73239.0
1743,
1744,250001.0
1745,168355.0
1746,161607.0
1747,199464.0
1748,151364.0
1749,188250.0
1750,176007.0
1751,155288.0
1752,105635.0
1753,188086.0
1754,205441.0
1755,89559.0
1756,116300.0
1757,161161.0
1758,83964.0
1759,92105.0
1760,122292.0
1761,168068.0
1762,183333.0
1763,232679.0
1764,147700.0
1765,136125.0
1766,
1767,84907.0
1768,228333.0
1769,143319.0
1770,126000.0
1771,160109.0
1772,120819.0
1773,136111.0
1774,98333.0
1775,89853.0
1776,58816.0
1777,97794.0
1778,119722.0
1779,189286.0
1780,144500.0
1781,39306.0
1782,122386.0
1783,86786.0
1784,92222.0
1785,42098.0
1786,76438.0
1787,48563.0
1788,
1789,65071.0
1790,83182.0
1791,69611.0
1792,67188.0
1793,70625.0
1794,67266.0
1795,74306.0
1796,111536.0
1797,81447.0
1798,114453.0
1799,69564.0
1800,84938.0
